state/ut,PC,candidate_name,party,evm_votes,postal_votes,total_votes,Rank
Andhra Pradesh,Adilabad ,GODAM NAGESH,Telangana Rashtra Samithi,425762,5085,430847,1
Andhra Pradesh,Adilabad ,NARESH,Indian National Congress,257994,1563,259557,2
Andhra Pradesh,Adilabad ,RAMESH RATHOD,Telugu Desam,182879,1319,184198,3
Andhra Pradesh,Adilabad ,RATHOD SADASHIV,Bahujan Samaj Party,94363,57,94420,4
Andhra Pradesh,Adilabad ,NETHAWATH RAMDAS,Independent,41028,4,41032,5
Andhra Pradesh,Adilabad ,PAWAR KRISHNA,Independent,5051,4,5055,6
Andhra Pradesh,Adilabad ,BANKA SAHADEV,Independent,4780,7,4787,7
Andhra Pradesh,Adilabad ,MOSALI CHINNAIAH,Independent,8842,17,8859,8
Andhra Pradesh,Adilabad ,None of the Above,NOTA,17021,63,17084,9
Andhra Pradesh,Peddapalle ,DR.JANAPATI SARAT BABU,Telugu Desam,63174,160,63334,1
Andhra Pradesh,Peddapalle ,TAGARAM SHANKAR LAL,Bahujan Samaj Party,9430,19,9449,2
Andhra Pradesh,Peddapalle ,BALKA SUMAN,Telangana Rashtra Samithi,563214,2282,565496,3
Andhra Pradesh,Peddapalle ,G. VIVEKANAND,Indian National Congress,273441,897,274338,4
Andhra Pradesh,Peddapalle ,KALVALA SHANKAR,Pyramid Party of India,9288,2,9290,5
Andhra Pradesh,Peddapalle ,KALVALA SANJEEV,Republican Party of India,8609,0,8609,6
Andhra Pradesh,Peddapalle ,BOTHA VENKATA MALLAIAH,BCUF,2245,0,2245,7
Andhra Pradesh,Peddapalle ,J.V. RAJU,New India Party,3020,0,3020,8
Andhra Pradesh,Peddapalle ,VENKATA SWAMY INJAM,MaSP,3861,5,3866,9
Andhra Pradesh,Peddapalle ,VELTHURU MALLAIAH,Republican Paksha (Khoripa),45976,1,45977,10
Andhra Pradesh,Peddapalle ,KAMILLA JAYA RAO,Independent,2741,1,2742,11
Andhra Pradesh,Peddapalle ,GADDALA VINAY KUMAR,Independent,3263,3,3266,12
Andhra Pradesh,Peddapalle ,GORRE RAMESH,Independent,2359,2,2361,13
Andhra Pradesh,Peddapalle ,JINNA RAMADEVI,Independent,9199,0,9199,14
Andhra Pradesh,Peddapalle ,THALLAPALLI SRINIVAS,Independent,3698,1,3699,15
Andhra Pradesh,Peddapalle ,BUPELLI NARAYANA,Independent,7255,3,7258,16
Andhra Pradesh,Peddapalle ,MOUTAM RAVINDER,Independent,2671,3,2674,17
Andhra Pradesh,Peddapalle ,None of the Above,NOTA,5344,17,5361,18
Andhra Pradesh,Karimnagar ,CHENNAMANENI VIDYA SAGAR RAO,Bharatiya Janata Party,213836,992,214828,1
Andhra Pradesh,Karimnagar ,PONNAM PRABHAKAR,Indian National Congress,298386,2320,300706,2
Andhra Pradesh,Karimnagar ,BURLA. RAVI,Nationalist Congress Party,4768,1,4769,3
Andhra Pradesh,Karimnagar ,B. LAXMAN,Bahujan Samaj Party,11289,39,11328,4
Andhra Pradesh,Karimnagar ,VINOD KUMAR BOINAPALLY,Telangana Rashtra Samithi,503197,2161,505358,5
Andhra Pradesh,Karimnagar ,DR.DHARMAIAH VENDAVETLA,Bahujan Mukti Party,3771,1,3772,6
Andhra Pradesh,Karimnagar ,L. PRABHAKAR REDDY,Pyramid Party of India,3942,1,3943,7
Andhra Pradesh,Karimnagar ,MEESALA RAJI REDDY,Yuvajana Sramika Rythu Congress Party,3071,4,3075,8
Andhra Pradesh,Karimnagar ,RANAVENI LAKSHMAN,New India Party,2061,1,2062,9
Andhra Pradesh,Karimnagar ,REDDI MALLA SRINIVAS,Republican Party of India (A),8033,1,8034,10
Andhra Pradesh,Karimnagar ,SHAIK MAHMOOD,Welfare Party of India,39300,8,39308,11
Andhra Pradesh,Karimnagar ,UPPULETI.LAXMAN,Independent,2445,0,2445,12
Andhra Pradesh,Karimnagar ,KANDEM PRABHAKAR,Independent,4727,1,4728,13
Andhra Pradesh,Karimnagar ,PULIKOTA RAMESH,Independent,1772,1,1773,14
Andhra Pradesh,Karimnagar ,MALLESH YADAV BARLA,Independent,2757,0,2757,15
Andhra Pradesh,Karimnagar ,MOHAMMED AMJAD MOHIUDDIN,Independent,6713,0,6713,16
Andhra Pradesh,Karimnagar ,SRINIVAS REDDY LINGAMPALLY,Independent,3851,0,3851,17
Andhra Pradesh,Karimnagar ,None of the Above,NOTA,5722,12,5734,18
Andhra Pradesh,Nizamabad,ENDALA LAKSHMINARAYANA,Bharatiya Janata Party,222876,2457,225333,1
Andhra Pradesh,Nizamabad,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi,435706,3601,439307,2
Andhra Pradesh,Nizamabad,TALARI RAMULU,Bahujan Samaj Party,7398,23,7421,3
Andhra Pradesh,Nizamabad,MADHU YASKHI GOUD,Indian National Congress,270948,1175,272123,4
Andhra Pradesh,Nizamabad,ABDUL GANI,BCUF,4791,0,4791,5
Andhra Pradesh,Nizamabad,BANJA VEERAPPA,Pyramid Party of India,3649,2,3651,6
Andhra Pradesh,Nizamabad,MALIK MOHTASIM KHAN,Welfare Party of India,43738,76,43814,7
Andhra Pradesh,Nizamabad,RAPELLY SRINIVAS,Aam Aadmi Party,2613,8,2621,8
Andhra Pradesh,Nizamabad,SAGAR SUDDALA,Bahujan Mukti Party,1952,26,1978,9
Andhra Pradesh,Nizamabad,SINGAREDDY RAVINDRA REDDY,Yuvajana Sramika Rythu Congress Party,3508,21,3529,10
Andhra Pradesh,Nizamabad,ABDUL KAREEM KHAN (BABU),Independent,1599,2,1601,11
Andhra Pradesh,Nizamabad,KANDEM PRABHAKAR,Independent,3988,2,3990,12
Andhra Pradesh,Nizamabad,KOTAPATI NARSIMHAM NAIDU,Independent,2458,4,2462,13
Andhra Pradesh,Nizamabad,S. CHANDRAIAH,Independent,2817,0,2817,14
Andhra Pradesh,Nizamabad,CHIRULINGADRULA VENKATESHAM,Independent,3091,0,3091,15
Andhra Pradesh,Nizamabad,BAGWAN B,Independent,8129,0,8129,16
Andhra Pradesh,Nizamabad,None of the Above,NOTA,7244,22,7266,17
Andhra Pradesh,Zahirabad,B.B. PATIL,Telangana Rashtra Samithi,505983,2678,508661,1
Andhra Pradesh,Zahirabad,K.MADAN MOHAN RAO,Telugu Desam,156807,690,157497,2
Andhra Pradesh,Zahirabad,SYED FEROZUDDIN,Bahujan Samaj Party,8165,15,8180,3
Andhra Pradesh,Zahirabad,SURESH KUMAR SHETKAR,Indian National Congress,362939,1091,364030,4
Andhra Pradesh,Zahirabad,MARRI DURGESH,Republican Party of India (A),18027,0,18027,5
Andhra Pradesh,Zahirabad,MAHMOOD MOHIUDDIN,Yuvajana Sramika Rythu Congress Party,12369,14,12383,6
Andhra Pradesh,Zahirabad,DR. SUNEEL KUMAR CHOWDHARY,Aam Aadmi Party,3270,15,3285,7
Andhra Pradesh,Zahirabad,TANDALE AMBAJI RAO,Independent,2321,2,2323,8
Andhra Pradesh,Zahirabad,BENJAMIN RAJU,Independent,4802,2,4804,9
Andhra Pradesh,Zahirabad,RAMA RAO,Independent,4426,0,4426,10
Andhra Pradesh,Zahirabad,None of the Above,NOTA,11157,33,11190,11
Andhra Pradesh,Medak,KALVAKUNTLA CHANDRASEKHAR RAO,Telangana Rashtra Samithi,655484,2008,657492,1
Andhra Pradesh,Medak,CHAGANLA NARENDRA NATH,Bharatiya Janata Party,181177,627,181804,2
Andhra Pradesh,Medak,Y. SHANKAR GOUD,Bahujan Samaj Party,6633,10,6643,3
Andhra Pradesh,Medak,DR.P. SHRAVAN KUMAR REDDY,Indian National Congress,260202,261,260463,4
Andhra Pradesh,Medak,IQBAL ALI ZAFAR,Majlis Bachao Tahreek,5010,0,5010,5
Andhra Pradesh,Medak,KOMPELLI PRABHUDAS,Republican Party of India (A),7599,0,7599,6
Andhra Pradesh,Medak,"PRABHUGOUD, PULLAIAHGARI",Yuvajana Sramika Rythu Congress Party,11744,8,11752,7
Andhra Pradesh,Medak,BOMMA BALESHAM,Pyramid Party of India,3296,1,3297,8
Andhra Pradesh,Medak,KUNDETI. RAVI.,Independent,33507,0,33507,9
Andhra Pradesh,Medak,GAJABINKAR BANSILAL,Independent,3281,0,3281,10
